"__uniqueid__","content","_TextTopic_10","_TextTopic_9","_TextTopic_8","_TextTopic_7","_TextTopic_6","_TextTopic_5","_TextTopic_4","_TextTopic_3","_TextTopic_2","_TextTopic_1","_Col10_","_Col9_","_Col8_","_Col7_","_Col6_","_Col5_","_Col4_","_Col3_","_Col2_","_Col1_","mailing_tag_no","subject","day","year","month","day_of_week"
"        1518","dear campus community when the diverse individual parts of our great institution associate their unique strengths with those of their peers through a consistent coordinated use of the universitys identity together we increase our reputation for excellence in our academics research and public engagement missions i would like to acknowledge and thank the campus units that are following the illinois identity standards for the web please visit to view a special message that contains a link to a recognition list of campus units following the standards sincerely robert a easter chancellor and provost interim","           0","           0","           0","           0","           0","           0","           0","           0","           0","           0","0.0340609456","0.0182142494","0.0327112894","0.0345517612","0.0285494037","0.1492366028","0.0048864655","0.0303547027","0.0236763553","0.0756617116","20100128131010-020222","thank you from the chancellor and provost","          29","        2010","Jan","Friday"
"        1618","this notice is to remind employees of an important benefit to faculty civil service and academic professional employees who are taking graduate level courses and who are eligible to receive a tuition waiver at the university if you are not receiving a graduate level tuition waiver or do not plan on receiving one this calendar year this notice does not apply to you the university exempts the first of the tuition waiver from taxable income in accordance with internal revenue code section this exemption is based on tuition waivers received by an employee in a calendar year university payroll monitors waivers posted to employees student accounts when the value exceeds the exempted amount of the employee is notified of the taxability the notification will be in the form of an email and via the us postal service to the mailing address in banner information regarding applying for an exception to the taxation if applicable will be sent at that time for additional information regarding employee eligibility and restrictions for graduatelevel tuition waivers please see and select your appropriate employee group for contact information regarding tuition waivers please see","           0","           0","           0","           0","           1","           0","           0","           0","           0","           0","0.0152143298","0.0277276647","  0.01191945","   0.0404852","0.1806337603","0.0196123641","0.0849667522"," 0.012372201","0.0233374955","0.0745380933","20100128104747-026742","notice regarding graduatelevel tuition waivers","          29","        2010","Jan","Friday"
"        1718","the university of illinois police department is investigating an attempted robbery that occurred on january at approximately pm in parking lot d w illinois street urbana the victim was walking through the parking lot when an individual approached him from behind and placed his hands in the victims back pants pocket the offender demanded money from the victim the victim denied the offenders request for money the offender then attempted to punch the victim in the face the victim defended against the punch striking the offender in the area of the right jaw the offender then ran away in a southwest direction the offender was described as a black male with a black mustache approximately years old approximately feet tall and pounds wearing a red jordan hooded sweatshirt and black sweat pants the victim was not injured in the incident anyone with information about these incidents should call the university of illinois police department at information also can be shared anonymously through crimestoppers by calling tips or online at crimes in progress reporting of suspicious individuals or any event requiring a police response should be reported to our regional dispatch center by calling crime prevention information can be found on the university of illinois division of public safety website at updates to crime alerts can also be found at barbara oconnor jd executive director of public safety chief of police university of illinois at urbanachampaign","           0","           0","           0","           0","           0","           0","           0","           1","           0","           0","0.0302118135","0.0178206872","0.0294749153","0.0210493974","0.0290094317","0.0216784892","0.0020127014","0.6315754863","0.0250836806","-0.014717078","20100128095423-022136","crimealert","          28","        2010","Jan","Thursday"
"        1818","there appears to be confusion about reporting responsibilities for faculty who choose the furlough option over the temporary pay reduction option president ikenberry in yesterdays senate meeting made it completely and appropriately clear that faculty members are not required to get permission from their department head or chair as they select their furlough days that choice belongs to the faculty member please remember however that it is extremely important that your departmental administration be aware of when you are taking your furlough days particularly if they correspond to days on which you otherwise would be in your office or teaching your departmental administrator must be able to respond knowledgeably to queries about scheduled office hours being cancelled or classes not being taught whether it comes from a student who missed a message an angry parent or whomever i am sorry for any confusion that may have arisen from mixed messages you may have received richard wheeler interim vice chancellor for academic affairs","           0","           0","           0","           0","           0","           0","           0","           0","           0","           0","0.0244779494","0.0380860106","0.0868432245","0.0288677544","0.0300223191","0.1129667627","0.0084174542","0.0280103974","  0.03074737","0.0793607279","20100126165603-020728","faculty furlough reporting","          27","        2010","Jan","Wednesday"
"        1918","student elections for the illinois student senate iss student trustee student organization resource fund sorf board and presented referenda questions will be held on march nd and rd any student wishing to run for a position may download and print an election packet from the student election commission sec website at in accordance with the iss constitution a referendum may be placed on the ballot for a general student body vote by receiving a twothirds vote of the iss and the signed support of of the student body or receiving the signed support of of the student body all referenda questions and signatures shall be submitted to the student election commission for verification further information is available in the election packet all students running for the illinois student senate student trustee or sorf board must attend a mandatory candidate meeting on monday february at in room d of the law building all election packets and referenda materials must be submitted by tuesday february to the illini union main desk room at the illini union if you have any further questions regarding the student elections please contact the student election commission chairman mike wilson at illinoissecgmailcom","           0","           1","           0","           0","           0","           0","           0","           0","           0","           0","-0.034651019","0.6971900651","0.0914252683","0.0209147136","-0.021489692"," 0.010187319","0.0129420508"," 0.009066478"," 0.018634548","-0.089816729","20100125192356-027084","student elections","          28","        2010","Jan","Thursday"
"        2018","thank you for your participation in the annual report of nonuniversity activities rnua process if your external activities have changed since you last reported please revise your rnua form and submit it for review and approval by your unit head before you begin the external activities if your external activities have not changed no action is required if you are salaried faculty or academic staff please be aware of the ongoing need to update your rnua if your external activities change the universitys policy on conflicts of commitment and interest requires prior approval for all nonuniversity incomeproducing activities as well as new activities extensions or changes to previously approved outside activities such changes or updates must be approved by your department head prior to the start of the external activity external activities are frequently beneficial to the individual and the university but must be approved in advance even if you plan to use furlough days to conduct the activity the rnua form instructions and faqs are available under the rnua section at the policy is available at this policy applies to salaried faculty and academic staff civil service employees are covered under a different policy and do not complete the rnua if you have any questions about the rnua or conflicts of interest please contact associate vice chancellor for research melanie loots at mlootsillinoisedu or thank you for helping to ensure that both you and the university are in compliance with the state law university policy and federal regulations","           0","           0","           0","           0","           0","           0","           0","           0","           0","           0","0.0949171133","0.0332935587","0.0345832285","0.0312862121","0.1091441968","0.0636195646","  0.07031422","0.0340688827","0.0327236884","0.1099760642","20100122154702-016178","when to update report of nonuniversity activities","          23","        2010","Jan","Saturday"
"        2118","to urbanachampaign faculty from professor kim graber chair senate committee on committees date january re faculty nominations to the athletic board the athletic board serves as an advisory committee to the chancellor and the athletic director on the fiscal and operational aspects of the varsity sports program the board is also responsible for that program as it relates to the academic and educational objectives defined by the senate the committee on committees is seeking nominations from qualified faculty members to fill two vacancies on the athletic board created by the expiration of the terms of john erdman and christopher span faculty members serve fouryear terms the following faculty with expiration of terms in parentheses are continuing on the board c l cole media cleo darcy aces margaret kelley las mary mallory libr thomas ulen law at the february senate meeting the committee on committees will present a slate of four faculty nominees upon senate approval of the slate the chancellor will appoint two of these nominees we invite you to make nominations faculty may also selfnominate nominations must include a brief paragraph description of the qualifications of the nominee including reference to strengths in service and leadership major teaching and scholarly interests and accomplishments and experiences and interest in the policy and management issues that surround a big ten athletic program thank you for your assistance we look forward to receiving nominations nominations must be received on or before friday january via email christaillinoisedu or campus mail to committee on committees co office of the senate english building mc","           0","           0","           1","           0","           0","           0","           0","           0","           0","           0","0.0082253607","0.0478534972","0.1820416531","0.0138031794","0.0281659454","0.0159343085","0.0012365151","0.0109528402","0.0155985543"," 0.107063322","20100120094811-016773","faculty nominations to the athletic board","          22","        2010","Jan","Friday"
"        2218","sign up now for direct deposit of your financial aid and student account refund the university of illinois at urbanachampaign now offers direct deposit of your financial aid and student account refunds sign up for direct deposit between now and pm the first day of instruction this fall wednesday august and you will be enrolled in a drawing to win one of five bookstore vouchers direct deposit is the quickest way to access your refunds no more waiting for your check in the mail you will be notified by email when your student refund has been sent to your bank using your university id number and password you may apply for direct deposit online through the safari student account and financial aid resource information web site at click on the zebra to log on if you have questions concerning this new service please refer to the safari web site or contact the office of student accounts and cashiers at or by email at studentaccountsuiucedu","           0","           0","           0","           0","           0","           0","           0","           0","           0","           0","0.0306896587","0.0725960077","0.0098170402","0.0997421945","0.0797054495","0.0036813608","0.0515468096","0.0113265902","0.1794225932","0.0383405938","20010611093038-012665","win one of five bookstore vouchers","          22","        2001","Jun","Friday"
"         119","as our institution faces its greatest financial challenge of our time it is critical that we provide opportunities for faculty and staff to learn more about the details of our financial situation and the steps we are taking in response it is equally critical that we provide opportunities to engage in dialog with campus leadership regarding how we best respond to the budget challenge to this end we invite you to join vice provost barbara wilson associate provost mike andrechak and me at one of the following presentations and conversations to pm beckman to am aces library heritage room i hope to see you soon richard wheeler vice chancellor for academic affairs acting","           0","           0","           0","           0","           0","           0","           0","           0","           0","           0","0.0260463213","0.0234672551","0.0510507197","0.0274626808","0.0094815568","0.1262524456","0.0061923614","0.0317393435","0.0281956558","0.1317031758","20100120092829-006306","ap and civil service budget presentations","          21","        2010","Jan","Thursday"
"         219","dear colleagues i have appreciated all of your responses and ideas regarding president ikenberrys letter of january th to the university and to my subsequent letter to the urbana campus announcing furloughs and other difficult measures being taken to cope with the growing cash crisis facing the university of illinois as a result of the delay in payment of our state appropriation the feedback ive received regarding our current budget crisis on campus has not only been extremely helpful but it also has confirmed what ive always believed people care deeply and passionately about this university that same constructive feedback led directly to an option to furloughs a voluntary and temporary salary reduction and we are pleased to be able to offer that alternative to our faculty and academic professionals i am writing today to inform you that as an alternative to furloughs faculty and academic professionals subject to furloughs may opt to take a voluntary and temporary salary reduction in lieu of furloughs if they so wish the manner and amount of the salary reduction is the same under both options those opting for the voluntary pay reduction program will not be subject to the work hour restrictions or time keeping requirements associated with furloughs those who choose not to elect the voluntary salary reduction option will of course be subject to the furlough program those who wish voluntarily to elect to take a temporary salary reduction in lieu of furloughs must complete an authorization on nessie between january and february please consult the following website for more complete information including the possible impact on surs contributions and instructions regarding both the mandatory furlough program and the voluntary pay reduction program ptionscfm again i thank you for your cooperation and understanding and reaffirm my profound appreciation for all you do to make the university of illinois at urbanachampaign the wonderful treasure we know it to be with your help and commitment we will be even stronger in the years ahead thank you for your support robert a easter chancellor and provost interim","           0","           0","           0","           0","           0","           0","           0","           0","           0","           1","0.0149326236","0.0314319492","0.0309245989","0.0587115562","0.0538521741","0.0649653411","0.0148552687","0.0265574347","0.0376308838","0.1695663686","20100120083510-003235","voluntary pay reduction program","          20","        2010","Jan","Wednesday"
"         319","dear students as we approach the spring semester i write to inform you of the current financial situation at the university of illinois at urbanachampaign as is the case with all public universities in the state we currently face a cash crisis in the current fiscal year that commenced on july we have only received percent of our annual appropriation from the state as i write this letter the state of illinois owes the university more than million of its appropriation that number increases every month as a response we have instituted a number of measures on campus to ensure that we have the necessary resources to get through the semester with an eye to confronting a similar fiscal shortfall in the next fiscal year our faculty and administrative staff will begin mandatory furloughs in february a furlough is a leave of absence without pay we have also been cutting costs at all levels of the university and we are looking at ways we can consolidate services to garner even more savings finally we continue to draw on cash reserves but these are finite and we can no longer continue to go down this path please understand that we are doing everything we can to protect our students our number one priority from the impact of these costcutting measures we believe that each fiscal decision we make must not compromise the education of this states greatest assets its daughters and sons please share this letter with your parents and family members great public universities such as ours must be preserved and supported to ensure that illinois and the nation stay competitive in a global economy thank you for your support robert a easter chancellor and provost interim","           0","           0","           0","           0","           0","           0","           0","           0","           0","           1"," 0.020090712","0.0310624083","0.0447926321","0.0481188219","0.0283999352","0.0688919666","0.0463335164","0.0216685074","0.0280531048","0.2029749547","20100119164951-021288","message from the chancellor re finances","          20","        2010","Jan","Wednesday"
"         419","the university of illinois police department has issued a crime alert regarding a robbery which occurred on january to review the most recent crime alert please visit barbara oconnor jd executive director of public safety chief of police university of illinois at urbanachampaign","           0","           0","           0","           0","           0","           0","           0","           1","           0","           0"," 0.063514874","0.0070661351","0.0227533648","0.0126137243","0.0322132212"," 0.013968762","           0","0.4018891843","0.0228453826","-0.014522623","20100119114552-022137","crimealert","          19","        2010","Jan","Tuesday"
"         519","as our institution faces its greatest financial challenge of our time it is critical that we provide opportunities for faculty to learn more about the details of our financial situation and the steps we are taking in response it is equally critical that we provide opportunities for faculty to engage in dialog with campus leadership regarding how we best respond to the budget challenge to this end we invite you to join vice provost barbara wilson associate provost mike andrechak and me at any one of the following presentations and conversations to am ncsa auditorium to pm natural history building to am gregory hall to pm temple buell hall to am david kinley hall faculty who have attended any of these meetings or our budget presentation to the senate are also invited to sign up for a small group conversation where we can go into greater detail on your thoughts concerns and recommendations regarding how illinois best move forward at this time to sign up for these small group conversations please copy the address below into your browser i hope to see you soon richard wheeler vice chancellor for academic affairs","           0","           0","           0","           0","           0","           0","           0","           0","           0","           0","0.0295185505","0.0636493933","0.0991595058","0.0156161745"," 0.033276078","0.1028111971","0.0062216221"," 0.041520742","0.0326028929","0.1378070911","20100117150730-006109","faculty budget presentations","          19","        2010","Jan","Tuesday"
"         619","dear student the university of illinois is pleased to announce that you may sign up to receive your and all future years federal tax credit information electronically rather than by regular mail this means you will receive your irs form t from the university in the shortest possible time to expedite taking advantage of any tuition tax credit you might qualify for if you received your university of illinois t electronically you do not need to sign up again and may discard this message but if you have not already signed up all you have to do is complete an online consent form and provide a valid email address it can even be your parent if you wish simply visit and complete the following steps select access my record to login using uin select clicking here in the first paragraph enter your uin and last name then select login enter your first name then select next enter your mothers maiden name and your date of birth using format mmddyyyy then select next the system will assign you a pin then select proceed note we recommend that you save your pin for future use however if you lose it you need only repeat the above steps and the system will recall your pin provided you enter the same mothers maiden name and date of birth scroll down through the text of the next screen until you reach form status then select the blue link titled receive t forms electronically select the check box next to university of illinois type in a valid email address then select grant consent read the terms then select accept please sign up at your earliest convenience should you have any questions or concerns please contact university student financial services and cashier operations usfsco at usfscohelpuillinoisedu or by phone at chicago springfield urbana __________________________________________________________________________ ________ please do not reply directly to this email as this is an outgoing email account only send all questions or concerns to usfscohelpuillinoisedu __________________________________________________________________________ ________ sincerely university student financial services and cashier operations chicago room mc student services building west harrison street chicago illinois phone usfscohelpuillinoisedu springfield room public affairs center one university plaza springfield illinois phone usfscohelpuillinoisedu urbana room mc henry administration building south wright street urbana illinois phone usfscohelpuillinoisedu","           0","           0","           0","           1","           1","           0","           0","           0","           0","           0","0.0286182453"," 0.055423231","0.0208826333","0.3106720732","0.2097506443","0.0223699144","0.0606717082","0.0330053192","0.1213164413","0.0108700224","20100111170255-024993","tuition tax documents","          13","        2010","Jan","Wednesday"
"         719","dear student enrollment in the spring prepayment plan is available please note if you would like to utilize the month payment plan option the enrollment deadline is january th after january th options available will be and month payment plans enrollment in the prepayment plan is optional and is an alternative to the regular university payment policy prepayment plan payments are automatically deducted from your checking or savings account electronically each month for more information regarding eligibility requirements and enrollment instructions visit our prepayment plan web page at please disregard this message if you are currently enrolled in the annual or spring prepayment plan please do not reply directly to this email as this is an outgoing email account only send all email correspondence to usfscohelpuillinoisedu sincerely customer service university student financial services and cashier operations uic room mc student services building west harrison street chicago illinois phone usfscohelpuillinoisedu uis room public affairs center one university plaza springfield illinois phone usfscohelpuillinoisedu uiuc room mc henry administration building south wright street urbana illinois phone usfscohelpuillinoisedu","           0","           0","           0","           1","           0","           0","           0","           0","           0","           0","0.0203061989","0.0367263634","0.0202181523","0.8698769916","0.0516748732","0.0235550211","  0.07346559","0.0219450348"," 0.101054127","-0.004821133","20100108153622-027898","spring prepayment plan enrollment reminder","           9","        2010","Jan","Saturday"
"         819","to members of the university of illinois community i write as chair of the search committee to assist in the selection of a president to share with you the position announcement the committee has developed for advertising the position of president of the university of illinois the position announcement and other information on the search can be found at the search committee seeks your help in identifying prospective candidates for this important position my colleagues and i hope you will submit nominations and encourage qualified individuals to be considered for the position as you see from the announcement you may send nominations electronically to the search firm issacson miller that is working with the search committee to identify potential candidates thank you for any assistance you might give the search committee pamela b strobel member of the board of trustees","           0","           0","           0","           0","           0","           0","           0","           0","           0","           1","-0.009958491","0.0500117722","0.1344256206","0.0218598514","0.0316287915","0.0286377593","0.0071679314","0.0413376523","0.0077222987","0.1525611141","20100107101347-000795","presidential search","           8","        2010","Jan","Friday"
"         919","dear campus community by now you have read president ikenberrys letter from tuesday morning sent to staff throughout the university of illinois the presidents message is clear we must act decisively to offset the percent shortfall thus far in state appropriations for the fiscal year and to anticipate more longrange stresses on the financial situation that supports our fundamental missions furloughs address an immediate cash need but they are not an acceptable way of addressing longterm issues simply stated our present commitments exceed the resources that we can reasonably expect to have available and we have no option but to reduce expenditures some decisions will of necessity be made at the campus level but many will have to be made very locally within departments and colleges we are committed to candid and open conversations that will engage the faculty governance process and the academic and civil service staff advisory bodies the decisions we make in the next months will affect the nature of this university for decades now is the time to act we cannot falter in our resolve organizations create their future during difficult periods this is a time that will put our intellect and creativity to the test our collective obligation is to ensure that the university of illinois at urbana champaign will emerge from this era as a vigorous preeminent campus that will provide a highly desirable academic home for scholars students and supporting staff we have done this for years and we will continue to do this long past our individual time on this campus please note that a website is being set up that will address frequently asked questions and will contain more details pertinent to concerns we share about meeting the challenges we face for now please go here for information on furloughs and some additional budgetrelated material we are hopeful to have an opportunity to offer voluntary separation plans look for specifics on those plans within the next two weeks finally it is clear to us that this is a defining moment in the history of this great university our mission has not and will not change but we must reinvent the ways in which we deliver on that mission this is the time for thoughtful positive and deliberate action and by coming together we will be defined not by this challenge but by our response to it we appreciate all of the work you do to make illinois the great university that it is and we look forward to addressing these challenges with you sincerely robert a easter chancellor and provost interim richard wheeler acting vice chancellor for academic affairs designate vice provost","           0","           0","           0","           0","           0","           0","           0","           0","           0","           1","0.0499912381","0.0466934596"," 0.059592301","0.0534034265","0.0531278191","0.1308313236","0.0334060615","0.0332408048","0.0338950218","0.2245923167","20100106142725-029964","message from campus administration","           6","        2010","Jan","Wednesday"
"        1019","january dear colleagues and friends of the university of illinois the university of illinois is a yearold institution that has weathered every challenge and ultimately thrived we will continue to thrive but we now face a cash crisis triggered by the states financial situation which is grim and worsening the state budget is out of balance with a backlog of unpaid bills nearing billion and shortterm borrowing covering roughly a comparable amount the states credit rating has been recently downgraded and among the states only california is worse the consequences for our university and others in this state are unprecedented and worsening in our case the university of illinois has received only of this years state appropriation since the first of july the shortfall is more than million and mounting at some point we will be unable to meet payroll and complete the academic year unless there are significant payments from the state as promised my hope is that the governor leaders and members of the general assembly will come together immediately to address the states escalating financial crisis as they do so they will have our full support and the support of the people of illinois who understand the tragic consequences of inaction until we see signs of this financial crisis lifting we must implement the following short term measures to conserve cash earlier in the fiscal year we set aside million in reserves and in november we directed units to reduce expenditures by to yield an additional million unfortunately we now need to use all of this million to address our immediate cash crisis while addressing only a fraction of our overall shortfall in state payments this action is essential to help sustain the universitys payroll we have struggled this year to avoid furloughs for faculty and staff but that is simply no longer possible personnel expenses represent the majority of our budget i am hereby directing the chancellors deans and other university administrators to join me in taking a total of ten furlough days or two days per month beginning in february and through the pay period ending on june additionally i am directing faculty members and academic professional staff to take a total of four furlough days beginning in february and through the pay period ending on may or essentially one day per month a furlough is a temporary leave of absence without pay and this measure will contribute million exceptions to furlough day policies are employees whose annual base salaries are or less graduate assistants and fellows employees with retirement agreements for retirement no later than august and individuals paid from grant or contract funds as of december in the case of civil service staff we will seek comparable cost reductions in accord with civil service rules and bargaining obligations the chancellors and i have reinforced an earlier directive to all academic and administrative units to avoid eliminate andor delay expenditures so as to conserve cash effective immediately an absolute freeze on all hiring or interim wage increases is declared exceptions to the hiring freeze such as hires to honor offers extended by or before the date of this letter commitments required to support specific research and contract activities eg federal stimulus research grant activities or emergency compensation adjustments must be approved by the appropriate chancellor and the president beyond the immediate cash crisis we face significant uncertainties in in anticipation of next years challenges academic and administrative support units should consider issuing notifications of non reappointment for selected individuals in employee classes whose terms and conditions of employment require advance notice of termination a work group to recommend administrative reorganization and restructuring was appointed in midnovember this group has focused on savings in the areas of information technology purchasing and consolidation of administrative support services i have asked it to provide a preliminary report to the board of trustees and university community on january our overall goal must be to preserve the strength of our faculty and academic programs by reducing administrative costs these are difficult measures and yet they represent an incomplete list of steps we must take we need to take innovative measures not just to cut budgets but to grow revenues and reduce actual costs at the same time deans department heads chairs and faculty must strategically reassess the scope of our academic programs and search for opportunities to consolidate or cut offerings that we value but may no longer be able to afford in the process we must protect our core landgrant missions of teaching research and service including clinical care remain competitive for faculty staff and students maintain essential services but eliminate duplicate and lower priority activities consolidate and share services and resources make efficient use of facilities and take such other steps as are necessary to sustain the universitys quality and continuity of operation long term all of these steps are being taken to mitigate the negative impact of the states escalating financial crisis unfortunately we cannot anticipate when state leaders will act on a plan that reorders priorities and places education first makes the painful but essential cuts in state expenditures and increases state revenues essential to restore the financial integrity of this state and its institutions of higher learning as acknowledged repeatedly by many state leaders education at all levels and especially at the university of illinois is the economic engine and future of our state and its people i urge our leaders to act now with your help we will get through this difficult period determined to grow stronger and better but we will only be able to do that if like the state we make the painful but essential decisions now i thank you for your understanding and support and i welcome your counsel as we move forward stanley o ikenberry president interim more information is available at","           0","           0","           0","           0","           0","           0","           0","           0","           0","           1","0.0562389617","0.0337742147"," 0.061254657","0.0486232803","0.0776400747","0.0564277883"," 0.020101732"," 0.035902401","0.0627485553","0.2821882775","20100105072849-027104","shortterm measures to conserve cash","           5","        2010","Jan","Tuesday"
"        1119","the university of illinois police department has issued a crime alert regarding an armed robbery which occurred on december th to review the most recent crime alert please visit barbara oconnor jd executive director of public safety chief of police university of illinois at urbanachampaign","           0","           0","           0","           0","           0","           0","           0","           1","           0","           0","0.0532414364","0.0278685116","0.0204845683","0.0220273693"," 0.015951717","0.0125759008","           0","0.3838865576","0.0205674108","-0.017671442","20091229102643-008737","crimealert","          29","        2009","Dec","Tuesday"
"        1219","dear campus community as we prepare for a much needed winter break with our families i want to thank you for your hard work and dedication we cannot overlook that has had more than a few challenges but we would be equally remiss in our endoftheyear review if we did not look back with pride on our accomplishments our faculty members continue to do cuttingedge work that is recognized and praised at the highest national and international levels our grant activity has increased in large part because of that recognition our students graduate with distinction and go on to tackle the crucial issues of the day and our dedicated staff work tirelessly to support all of our ambitious activities yet we cannot and will not ignore the realities i realize there is widespread anxiety regarding our financial state soon after the start of the next semester president ikenberry and i will announce measures that address the serious budget issues we face with each decision we will adhere to principles that have guided this great institution for years we will protect the premium education we offer students we will not backtrack from our other land grant mandates of research and outreach nor will we not step back from addressing the grand challenges of human existence including health energy food the arts and the environment finally i want to assure all of you that i am working tirelessly to well work myself out of this job as interim chancellor and provost the presidential search is under way and a search for the next permanent chancellor and provost will follow in the meantime i will join with the vice chancellors and deans to make critical decisions that continue to move our university toward a viable and productive future again thank you for the extraordinary work that you do it is because of your dedication that when people speak of the university of illinois they cite the professionalism and pride of the faculty and staff which are fundamental to our success with gratitude robert a easter chancellor and provost interim","           0","           0","           0","           0","           0","           0","           0","           0","           0","           1","0.0455679902","0.0182967928","0.0464584264","0.0115319043","0.0251329413","0.1041402955","0.0243410214","0.0152273029","0.0210494753","0.2250960775","20091222102400-022935","chancellors endofyear message","          22","        2009","Dec","Tuesday"
"        1319","the university of illinois police department has issued a crime alert regarding an armed robbery which occurred on december th to review the most recent crime alert please visit barbara oconnor jd executive director of public safety chief of police university of illinois at urbanachampaign","           0","           0","           0","           0","           0","           0","           0","           1","           0","           0","0.0532414364","0.0278685116","0.0204845683","0.0220273693"," 0.015951717","0.0125759008","           0","0.3838865576","0.0205674108","-0.017671442","20091219123856-024309","crimealert","          19","        2009","Dec","Saturday"
"        1419","i write to inform you of troubling incidents that continue within the campus district the champaign police department is investigating a robbery that occurred on december at approximately am near the intersection of fifth street and white street the victim was approached from behind and punched in the face the unconscious victim was later brought home by friends when the victim awoke later in the morning he realized his wallet was missing this victim could provide no information regarding the persons that committed this crime the victim sustained a small abrasion to his cheek champaign police are also investigating an attempted robbery and aggravated battery that occurred on december at approximately pm near the intersection of second street and springfield avenue the victim believes she was followed by the persons who committed this crime from the area of first street and springfield avenue the victim was pulled into an alley by the offenders and thrown to the ground the offenders kicked the victim repeatedly in the face and torso the offenders attempted to remove property from the victim the screams coming from the victim attracted the attention of a resident of a nearby apartment who observed the victim on the ground the offenders are described as three black males in their early twenties one of the offenders was tall with a long face another offender was described as approximately foot inches tall and slightly overweight with braided hair and wearing baggy jeans with chains hanging off of them all three offenders were wearing loose bomber type jackets the victim sustained several scratches to her face the urbana police department is investigating a robbery that occurred on december at approximately pm in the block of n gregory street the victim had delivered pizzas and was returning to his vehicle when he was attacked by two or three persons the victim was struck in the head which knocked him to the ground the offenders took property from the victim and fled the area running to the east on the clark street sidewalk towards lincoln avenue one of the offenders is a white male the other offender is a black male both offenders were described as collegeage males wearing blue jeans information on the possible third offender was not available the victim sustained a potential head injury and was transported to a local hospital university of illinois police responded to a report of a robbery on december at approximately pm this incident occurred in a ninth floor hallway of oglesby hall at florida avenue residence halls urbana the victim was punched in the face and kneed in the groin area by the persons committing this crime one offender threatened the victim with an implied knife and removed property from the victim uipd officers were able to locate two suspects one suspect was arrested for armed robbery the other suspect was arrested for armed robbery and intimidation uipd continues to investigate this case and is seeking to apprehend the two remaining offenders one offender was described as a black male being heavy set with long braided hair down to his shoulders wearing a baseball cap blue jeans and white shoes the other offender was described as a shorter black male wearing a darkcolored hooded sweatshirt and white battingstyle gloves as a result of these crimes the university of illinois police department continues to work with the champaign and urbana police departments in preventing such criminal activity and identifying the offenders uipd maintains an increased patrol focus surrounding these incidents in addition to continuing special operation details involving additional police resources within the campus district anyone with information about these incidents should call the champaign police department at the urbana police department at or the university of illinois police department at information also can be shared anonymously through crimestoppers by calling tips or online at crimes in progress reporting of suspicious individuals or any event requiring a police response should be reported to our regional dispatch center by calling crime prevention information can be found on the university of illinois division of public safety website at barbara r oconnor jd executive director of public safety chief of police university of illinois at urbanachampaign this mailing approved by the office of the chief of police","           0","           0","           0","           0","           0","           0","           0","           1","           0","           0","0.0521097385","0.0182297645","0.0397350012","0.0327083081","0.0348996569","0.0194208552","0.0034323488","0.5907421814","0.0122982111","0.0185828809","20091214143403-011995","crimealert","          14","        2009","Dec","Monday"
