mailing_tag_no,content,subject,day,year,month,day_of_week
20091210145106-024564,i write to inform you of an incident which poses a continuing risk to students and employees of the university of illinois at urbanachampaign the champaign police department is investigating a home invasion that occurred on december at approximately am at an apartment in the block of east healey street two suspects knocked on the door and entered the victims apartment with pistols one victim attempted to approach one of the suspects and was struck in the nose causing a laceration the suspects then removed various electronic items from the apartment the suspects then fled from the area two of the victims had just returned to the apartment prior to the suspects knocking these two victims believe they may have been followed by the two suspects as they walked back to their apartment from the south the victim who sustained the injury was later treated and released from an area hospital both suspects were black males wearing ski masks one suspect was described as tall wearing a green sweatshirt the other suspect was described as short and heavier wearing a gray sweatshirt as a result of this crime the champaign and university of illinois police departments are increasing patrols in the area and encouraging the campus community to be aware of their surroundings to exercise caution in accepting visitors to their apartments and to report suspicious individuals by calling anyone with information about this incident should call the champaign police department at information also can be shared anonymously through crimestoppers by calling tips or online at crime prevention information can be found on the university of illinois division of public safety website at barbara r oconnor jd executive director of public safety chief of police university of illinois at urbanachampaign this mailing approved by the office of the chief of police,crimealert,10,2009,Dec,Thursday
20091207123122-004066,dear student enrollment in the spring prepayment plan is available please note if you would like to utilize the month payment plan option the enrollment deadline is december th after december th options available will be and month payment plans enrollment in the prepayment plan is optional and is an alternative to the regular university payment policy prepayment plan payments are automatically deducted from your checking or savings account electronically each month for more information regarding eligibility requirements and enrollment instructions visit our prepayment plan web page at please disregard this message if you are currently enrolled in the annual or spring prepayment plan please do not reply directly to this email as this is an outgoing email account only send all email correspondence to usfscohelpuillinoisedu sincerely customer service university student financial services and cashier operations uic room mc student services building west harrison street chicago illinois phone usfscohelpuillinoisedu uis public affairs center one university plaza springfield illinois phone usfscohelpuillinoisedu uiuc room mc henry administration building south wright street urbana illinois phone usfscohelpuillinoisedu,spring prepayment plan enrollment period rem,09,2009,Dec,Wednesday
20091201144707-029699,dear student the university of illinois is pleased to announce that you may sign up to receive your and all future years federal tax credit information electronically rather than by regular mail this means you will receive your irs form t from the university in the shortest possible time to expedite taking advantage of any tuition tax credit you might qualify for if you received your university of illinois t electronically you do not need to sign up again and may discard this message but if you have not already signed up all you have to do is complete an online consent form and provide a valid email address it can even be your parent email address if you wish simply visit and complete the following steps select access my record to login using uin select clicking here in the first paragraph enter your uin and last name then select login enter your first name then select next enter your mothers maiden name and date of birth using format mmddyyyy then select next the system will assign you a pin then select proceed note we recommend that you save your pin for future use however if you lose it you need only repeat the above steps and the system will recall your pin provided you enter the same mothers maiden name and date of birth scroll down through the text of the next screen until you reach form status then select the blue link titled receive t forms electronically select the check box next to university of illinois type in a valid email address then select grant consent read the terms then select accept please sign up at your earliest convenience should you have any questions or concerns please contact university student financial services and cashier operations usfsco at usfscohelpuillinoisedu or by phone at chicago springfield urbana,tuition tax documents,02,2009,Dec,Wednesday
20091130153842-026591,this email message applies to students who are or have been employees of the university of illinois during tax year if you were not an employee during tax year please disregard this message if you are a foreign national student nonresident alien who is or has been a university employee during tax year you may not receive your tax form electronically your tax form s will be mailed to you as in previous years however there is an important mailing address requirement that also applies to you please refer to section address requirement for mailing of forms below is important information that will help you with endofyear processing of the statement of wages irs form w electronic process for form w consent process for electronic access address requirement for mailing of forms where to find additional information electronic process for form w again this year the university is pleased to offer the option of accessing your form w electronically last year over employees chose to receive their w electronically the consent process for calendar year is open through january at pm if you previously consented you do not need to provide consent again this year to retrieve your form w electronically if you previously consented you will receive a notification from university payroll during the second week of january indicating that your form w is available online and giving you instructions on how to access it if you wish to receive your w electronically if you have not previously agreed to have your information sent electronically you can provide consent at any time through january at pm see section consent process for electronic access below for details if you do not consent to receive your w electronically by january at pm you will receive a printed form w by regular mail benefits of accessing your form w online include you will have access to your form w at least two weeks earlier than the distribution of mailed copies your form w is always available to you for secure convenient and timely access because you are retrieving your form w electronically from a secured web site you need not worry that the form will be lost in the mail or stolen from your mailbox and used for identity theft duplicates are just a few clicks away even as late as april or consent process for electronic access if you wish to receive your form w electronically you must provide consent using the nessie application through january at pm by following the steps below go to nessie at select the compensation tab click the link w wage and tax statement click the link w consent form log in using your netid and password or enterprise id and password enter your personal identification number pin or create one once you are on the w wage and tax statement consent form page click continue follow the instructions at the bottom of the form to provide consent enter the consent code click on link to retrieve the code this is necessary since it mimics the functionality used to retrieve the w electronically enter the email address you want your notification regarding retrieval of your form w to be addressed to this does not need to be your university email reenter your email address click the consent button after you submit this information you will receive an email from the university of illinois indicating you have consented to receive your w electronically if you have consented to receive your w electronically you will receive a notification from university payroll during the second week of january indicating that your w is available online and giving you instructions on how to access it if you do not follow the steps above and consent to receive your form w electronically by january at pm you will receive a printed form w by regular mail address requirement for mailing of forms the university of illinois contracts the services of jat software for the annual mailing of form w and form s for foreign nationals form w and form s will be mailed to the mailing address listed on the employees personal information tab in nessie as of december if you do not have an active mailing address the form will be sent to your listed homepermanent address for form w and form s mailing purposes you can change your mailing address in nessie until december see section additional information to find address change instructions additional information additional information including the form w and form s reissue process a list of frequently asked questions and how to change your address in nessie can be found on the university payroll and earnings web site at the following links reissue process and faqs via the tax information section change of address instructions via the address change section you can also access this information through the obfs home page at click payroll and earnings on the left panel and then click on the links on the left address change for example or on other specific topics under the tax information link including faqs and reissued ws note because some email programs split long addresses urls you may not be able to reach the desired pages by clicking on the links above try copying all the text between the angle brackets into your browsers address bar there should be no spaces in the url if you have other questions about the form w or form s process please contact the university payroll service center at or payinquillinoisedu laurie pitner executive director university payroll,form w process for tax year,01,2009,Dec,Tuesday
20091130153237-023704,to help you prepare for the annual processing of yearend statement of wages irs form w this message gives you important information about electronic process for form w consent process for electronic access address requirement for mailing of forms where to find additional information electronic process for form w again this year the university is pleased to offer the option of accessing your form w electronically last year over employees chose to receive their w electronically the consent process for calendar year is open through january at pm if you previously consented you do not need to provide consent again this year to retrieve your form w electronically if you previously consented you will receive a notification from university payroll during the second week of january indicating that your form w is available online and giving you instructions on how to access it if you are a foreign national nonresident alien employee the electronic option is not available for form s for foreign national employees foreign nationals will receive their tax form in the mail as in previous years please note an important requirement below in section address requirement for mailing of forms if you wish to receive your w electronically if you have not previously agreed to have your information sent electronically you can provide consent at any time through january at pm see section consent process for electronic access below for details if you do not consent to receive your w electronically by january at pm you will receive a printed form w by regular mail benefits of accessing your form w online include you will have access to your form w at least two weeks earlier than the distribution of mailed copies your form w is always available to you for secure convenient and timely access because you are retrieving your form w electronically from a secured web site you need not worry that the form will be lost in the mail or stolen from your mailbox and used for identity theft duplicates are just a few clicks away even as late as april or consent process for electronic access if you wish to receive your form w electronically you must provide consent using the nessie application through january at pm by following the steps below go to nessie at select the compensation tab click the link w wage and tax statement click the link w consent form log in using your netid and password or enterprise id and password enter your personal identification number pin or create one once you are on the w wage and tax statement consent form page click continue follow the instructions at the bottom of the form to provide consent enter the consent code click on link to retrieve the code this is necessary since it mimics the functionality used to retrieve the w electronically enter the email address you want your notification regarding retrieval of your form w to be addressed to this does not need to be your university email reenter your email address click the consent button after you submit this information you will receive an email from the university of illinois indicating you have consented to receive your w electronically if you have consented to receive your w electronically you will receive a notification from university payroll during the second week of january indicating that your w is available online and giving you instructions on how to access it if you do not follow the steps above and consent to receive your form w electronically by january at pm you will receive a printed form w by regular mail address requirement for mailing of forms the university of illinois contracts the services of jat software for the annual mailing of form w and form s for foreign nationals form w and form s will be mailed to the mailing address listed on the employees personal information tab in nessie as of december if you do not have an active mailing address the form will be sent to your listed homepermanent address for form w and form s mailing purposes you can change your mailing address in nessie until december see section additional information to find address change instructions additional information additional information including the form w and form s reissue process a list of frequently asked questions and how to change your address in nessie can be found on the university payroll and earnings web site at the following links reissue process and faqs via the tax information section change of address instructions via the address change section you can also access this information through the obfs home page at click payroll and earnings on the left panel and then click on the links on the left address change for example or on other specific topics under the tax information link including faqs and reissued ws note because some email programs split long addresses urls you may not be able to reach the desired pages by clicking on the links above try copying all the text between the angle brackets into your browsers address bar there should be no spaces in the url if you have other questions about the form w or form s process please contact the university payroll service center at or payinquillinoisedu laurie pitner executive director university payroll,form w process for tax year,01,2009,Dec,Tuesday
20091130084914-004141,members of the campus community i write to let you know that tomorrow morning dec at am the campus will conduct a test of the illinialert system as well as the emergency popup message on the illinoisedu homepage and all other campus web pages that have been coded to show such messages please make sure that you are registered at emergencyillinoisedu so you can receive text and email notifications in the event of major campus emergencies when registering for illinialert please follow all instructions including sending yourself a test text message for questions or problems concerning the illinialert service please contact the cites help desk at or email consultillinoisedu during tomorrows test you will not need to do anything however if you do not receive the test message tomorrow morning on or about am please contact the cites help desk thank you for doing your part to keep the campus safe sincerely todd short director of emergency planning,illinialert system test,30,2009,Nov,Monday
20091123131358-016326,i write to inform you of an incident which poses a continuing risk to students and employees of the university of illinois at urbanachampaign the university of illinois police department is investigating a report of battery that occurred on at approximately pm on the engineering quad south of grainger library the victim was walking when he was approached from behind and knocked to the ground while on the ground two male suspects kicked him in the face and on both sides of his body the suspects then ran west toward the tennis courts located at the corner of wright street and springfield avenue the victims jaw and eye were swollen from the incident the male suspects were described as approximately twenty years of age one suspect was wearing a black hooded sweatshirt the other suspect was wearing a grey hooded sweatshirt the victim was unable to provide any other specific suspect information as a result of this crime the university of illinois police department is increasing patrols in the area and are working to gather additional suspect information anyone with information about this incident should call the university of illinois police department at information also can be shared anonymously through crimestoppers by calling tips or online at crime prevention information can be found on the university of illinois division of public safety website at barbara r oconnor jd executive director of public safety chief of police university of illinois at urbanachampaign this mailing approved by the office of the chief of police,crimealert,23,2009,Nov,Monday
20091119144901-026609,to university of illinois faculty staff and students from michele thompson secretary of the board of trustees on behalf of trustee pamela b strobel re campus forums for presidential search the search committee to assist in the selection of a president will conduct a campus forum at each campus of the university to receive comments and suggestions from members of the university community concerning the search for a new president of the university trustee pamela b strobel chair of the search committee stated that these are intended to be listening sessions for the members of the search committee that will help the committee develop a set of criteria experiences and qualifications that a new president of the university of illinois should possess these criteria will then be used to measure the qualifications and characteristics of potential candidates the first forum will be held at the chicago campus on december pm in rooms a b c first floor of the student services building west harrison street racine avenue and harrison streets the second forum will be at the urbana campus on december pm in the knight auditorium spurlock museum south gregory street urbana between illinois and oregon streets the third forum is scheduled for the springfield campus on december pm in the auditorium in brookens library individuals wishing to speak to the representatives of the search committee will be asked to sign in before the forum begins comments may also be sent to the search committee at presidentsearchuillinoisedu,campus forums for presidential search,20,2009,Nov,Friday
20091116130949-016630,in the last hours there have been many questions about the universitys intention regarding tuition waivers let me be as clear as possible in response to this issue the excellence of our graduate programs depends on our capacity to provide fair and reasonable expectations for graduate assistants regarding their tuition waivers graduate students with assistantships will not have their tuition waivers reduced while they hold qualifying assistantships are in good academic standing and are making proper progress toward graduation in the program in which they began this commitment is consistent with our longstanding and ongoing university practice robert easter interim chancellor and provost,graduate assistant tuition waivers,16,2009,Nov,Monday
20091115214357-028343,dear members of the campus community the graduate employees organization geo has announced it will strike beginning tomorrow morning at am classes are not cancelled campus administration will monitor the situation closely and assess options for dealing with any disruption that might occur our goal is to serve our students by minimizing any harm to our educational mission that a work stoppage might cause in most colleges and departments we expect classes to proceed uninterrupted the university and geo have been negotiating for seven months on a new contract saturday night the two sides agreed on every issue with the exception of tuition waivers such waivers are tuition exemptions and discounts granted to certain graduate students tuition waivers are critical to attracting the best graduate students in a nationally competitive market the university community is committed to providing the most competitive tuition waivers possible contrary to geo assertions the university has no plans to change current policy on tuition waivers tuition waivers are governed by the general rules established by the board of trustees the university has assured the geo it will bargain the impact of any change to the fee waiver policy in the unlikely event that a change is proposed the geo has announced that it will take the universitys contract offer to a vote of its members on tuesday night we are hopeful that the union members will accept the universitys offer which represents the best possible package for graduate students within the difficult financial constraints we currently face for more information on the universitys contract offer to the geo visit robert easter interim chancellor and provost,announcement regarding geo,15,2009,Nov,Sunday
20091112170959-005870,dear students the graduate employees organization has authorized its strike committee to call a strike at any time and a strike is expected monday nov the campus expects that classes will be held as scheduled during the strike it appears that the geo will establish picket lines around some buildings with classrooms and some instructors have indicated they may cancel or relocate classes during a strike if you have questions about class access or scheduling you should contact the department that offers the class contact information for departments is in the campus az index if you have questions about the impact of a strike on your academic progress and degree completion please raise these questions with your colleges undergraduate academic affairs office college contact information is also in the az index students have a right to receive the education for which they are paying and for which they have worked hard to earn the opportunity to receive at the university of illinois colleges and departments have been planning for the possibility of a strike and will ensure that teaching and learning continue the universitys goal is to ensure that students are treated fairly and the objectives of their courses are fulfilled our highest priority is to ensure that students academic progress will not be impeded sincerely robert easter interim chancellor and provost,strike information,12,2009,Nov,Thursday
20091112113727-017041,at the board of trustees meeting thursday the board approved the appointment of robert a easter as interim provostchancellor for the urbana campus effective immediately he will continue to hold these positions until a permanent chancellor and provost are named and have assumed their responsibilities following a national search as interim provostchancellor bob will lead the urbana campus and fulfill the duties of chancellor as interim provost he serves as the chief academic and budgetary officer for the campus and the deans and directors of academic units report to him bob was named interim provost and associate chancellor by the trustees in july bob has a long history at the university having served as dean of the college of agricultural consumer and environmental sciences from he was head of the animal sciences department from an award winning teacher and researcher he has been a member of the urbana faculty since he coauthored a book on swine production and has written more than peerreviewed articles book chapters four monographs and numerous papers for conferences and industry publications in president george w bush appointed him to the board for international food and agricultural development bifad and in he was appointed as chair of bifad bob easter is doing a superb job as provost and i look forward to working closely with him and the senior management team in urbana on the continual improvement of the campus bob has my personal thanks for taking on these additional responsibilities,appointment of interim provostchancellor easter,13,2009,Nov,Friday
20091112071932-010422,this is a massmail broadcast test sent out to a limited number of recipients please ignore this massmail it is only a test cites massmail service,massmail test to a limited number of recipients,12,2009,Nov,Thursday
20091111090525-016252,dear campus colleagues we are quickly reaching the end of our campus charitable fund drive if you have already made your pledge i thank you your generosity has never been needed more and will have a lasting impact on our neighbors and friends if you have not yet made your pledge to the campus charitable fund drive i hope you will do so contact your department or unit leader for a pledge form or you can easily make an online pledge at if every one of us could help in some small way great things could happen we live in wonderful communities but their overall health depends on our support in a few days we will celebrate thanksgiving a time to express gratitude for what we have been given and help others as well thank you for joining in this years campus charitable fund drive sincerely stanley o ikenberry interim president designate,campus charitable fund drive,11,2009,Nov,Wednesday
20091110163414-005535,to the campus community i write to ask for your help in identifying the people who wrote threatening messages in a campus building earlier this month it appears two or more individuals wrote a series of messages to each other on a male bathroom stall in everitt lab the messages included antiasian and anticaucasian language one of the messages in the exchange states that the writer plans to kill asians in everitt lab on nov leading to a response from another individual that he or she would be there to shoot the caucasian individual we have been aggressively investigating this case including conferring with the federal bureau of investigations in attempts to assess the credibility of the threat although this may stand as only a disturbing and anonymous exchange between individuals we are compelled to inform the campus community if through investigative efforts the credibility of the threat is believed to have increased we will share that information as well such vandalism and acts of intolerance are violations of the student code and the illinois criminal code and could lead to punishment under the students discipline system as well as potential criminal charges if you have any information about the authors of these messages please contact uipd at to anonymously share information you may call champaign county crimestoppers at tips or online at for specific information regarding active threats visit for general information about staying safe on campus visit and for information about reporting acts of intolerance including bias motivated incidents visit thank you for your assistance in this matter and for doing your part to keep our campus safe sincerely barbara oconnor jd executive director of public safety chief of police,crimealert,10,2009,Nov,Tuesday
20091109162551-009084,the geo membership has voted to authorize its strike committee to call a strike at any time the geo made a formal press release today unofficial reports indicate that the strike would begin on monday november although we continue to believe that a strike is not in the best interests of either the geo or the university we recognize the geos legal right to take a strike action our goal always has been and continues to be to provide the best possible contract within the budget constraints we face it is not news that the state of illinois and consequently the university of illinois face severe budget problems and an uncertain financial future as presidents white and ikenberry shared recently immediate challenges include the states lack of capacity to provide the funding for this fiscal year that we are to have received but have not received more serious yet is the negative effect that state budget shortfalls will have on funding appropriated for the duration of this academic year still more serious are the projected effects on the university budget for fiscal year of the disappearance of federal recovery dollars from our state budget and the further erosion of the states tax base financial planning is now focused on meeting and coping with financial stresses exceeding any the university has encountered for many many years although we have seen welcome increases in research funding and there have been successes in the advancement campaign it must be understood that funds from those sources cannot be used for ta salaries for these reasons the geos request for a nearly raise in the minimum stipend is untenable as you know other employees of the university did not receive raises this year and the states economic situation may yet require furloughs and other costsaving measures before the end of the fiscal year the university has been working very hard with the geo to reach an agreement on a new contract and we have made substantial progress we have held negotiating sessions and have reached tentative agreement on several key items for example the university and geo have agreed to a substantial increase in the health insurance fee subsidy provided by the university increasing the universitys current contribution of to in years two and three of the contract additionally we have agreed on a parental accommodation period for the birth or initial placement or adoption of a child we value the contributions graduate students make to the university and we know we are competing nationally and internationally to attract and retain the best and brightest students the total compensation package offered by the university which encompasses wages waiver of most fees the tuition waiver and a university of illinois education reflects our recognition of the value brought to the university by our excellent graduate students nearly of geo members have appointments which means they are required to work parttime hours a week for nine months each year the average salary for those employees is or an hour our commitment to our students and employees has not changed we remain committed to providing a quality education for our students and being a fair employer to all employee groups we continue to seek ways we can provide the most beneficial employment to all but we must not make concessions to the extraordinary demands of one group while respecting the universitys severe budgetary constraints in dealing with all others i remind you again that we have an obligation to our students and their families to provide the education which they have sacrificed to attain only geo members have a legal right to strike all other employees have an obligation to meet the responsibilities of their positions employees who choose not to cross a picket line must request and receive approval in advance for vacation time as always vacation approval is based on operational need a unit is not required to approve a vacation request if there are operational needs that would be unmet if the request is approved sick leave cannot be utilized to cover strikerelated absences if staff not covered by the geo contract have unapproved absences during the strike normal discpline procedures will apply as with any unioninitiated strike action geo members who elect to strike rather than meet their job obligations will not be paid for strike absences it is important to remember that a work stoppage will do nothing to improve the financial situation that constrains what the university can do in this round of negotiations and it will not change what the university can offer in these negotiations the campus remains committed to fulfilling our educational mission our students are entitled to the education they have come to illinois to receive many with substantial sacrifice by them and their families we hope assistants will respect their instructional obligations and not impair students progress in their current courses the campus will monitor the situation closely and assess options for dealing with any disruption that might occur to minimize the harm which a work stoppage would cause instructors are expected to alert students in advance about any changes in class assignments or arrangements made because of a strike the office staff in the department or college offering a specific course also will be available to respond to questions or problems that might arise in the event of a work stoppage and staff in the dean of students office also will be available at to respond to questions or concerns of students or their parents some notes on the geo negotiations are available through this link,union issues,09,2009,Nov,Monday
20091102111910-016906,to university of illinois community from president b joseph white and interim presidentdesignate stanley o ikenberry re university budget outlook and actions the university of illinois has been dealing with budget reductions and uncertainties for some time we cant wave these away like many other public and private research universities around the country we continue to confront them a deep national recession a weak illinois economy and serious state financial problems create the challenge during the past decade the university has been subject to multiple rescissions and cuts in our appropriation from the state in fiscal year the universitys state general fund appropriation was million by fiscal that amount was down to million after accounting for a million rescission and a redirection of million annually to cover part of our health care costs previously paid by the state this is a reduction of excluding inflation or in real terms the universitys net general fund appropriation from the state for the current fiscal year is million including million of federal stimulus funds as of november the university has billed the state for million of the current fiscal year appropriation we have received very little of that amount the result is significant cash flow problems that we continue to manage whether the governor and general assembly will make downward adjustments to our current budget is unknown and may not be known for several months given this possibility however we must take steps now to manage as prudently as possible at the beginning of the year the university put funds in reserve centrally in anticipation of difficult budget challenges ahead we must now make further contingency plans to sequester an additional or million of the fiscal general fund appropriation we have asked campus and university administration leaders to develop the plans guided by these principles safeguard academic and patientcare quality serve students and maintain externally funded research programs identify organizational changes and consolidations that will yield longerterm savings we do not plan furlough days before the end of the calendar year and we hope they can be avoided completely it will be necessary however for departments colleges and administrative units to manage any hiring on a critical needs by exception basis for the remainder of the fiscal year that ends next june campus and ua leaders will determine the methods for managing personnel costs while reducing overall expenditures virtually every public university in america faces similar challenges for illinois the state economy is expected to remain weak and state revenues may decline further federal stimulus funds that are an important part of the fiscal budget are not expected to recur in we face difficult choices to position the university for a genuine recovery down the road we intend for example to implement a plan to reduce administrative costs at the campus and ua levels by a total of million over the next three years other organizational and program changes across the university will be analyzed and considered we know that living with uncertainty is not easy yet it is far from clear when state policymakers will craft a plan to address the states fiscal crisis and what the implications of the plan will be for state programs and services including higher education securing a stable and high quality future for the university of illinois is our top priority and a challenge we all share we appreciate your understanding cooperation and support during these difficult times,university budget outlook and actions,03,2009,Nov,Tuesday
20091030133245-016605,to all staff all faculty from interim provost robert easter re admissions reforms the admissions task force was charged by former chancellor herman interim provost easter and senate executive committee chair tolliver to outline how we will implement the recommendations made by the illinois admissions review commission arc in its august report i am pleased to report that the task force has completed its work and its recommendations have been shared with president white with the urbana council of deans and with the other two campuses i would like to extend my sincere thanks to the task force particularly its chair professor christine hurt for the careful and thoughtful work under challenging time constraints the admissions task force was not asked to change the work of the admissions staff but to protect it and clarify it to put in the words of the arc report a firewall around it and insulate it from external pressures and undue influence i write now to share the task forces recommendations and to summarize the limitations and responsibilities of the firewall the admissions task force recommendations state with regard to undergraduate admissions no third party including trustees government officials or university employees without admissions responsibilities shall attempt to communicate with office of undergraduate admissions staff members or employees with admissions responsibility regarding any applicant file any such communication is not permitted and would be logged for review by the senate admissions committee only an applicant an applicants parent or legal guardian spouse or secondary high school guidance counselor may communicate with the admissions office regarding an individual file thirdparty communications typically in the form of letters of recommendation are fundamental to the admissions procedures of most post baccalaureate graduate and professional programs such communications are acceptable so long as the third party is an expert in a relevant academic or professional field or has other expertise that bears directly on the academic qualifications of an applicant other thirdparty communications are prohibited what does this mean for you if you are contacted by an applicant or an applicants parentslegal guardian spouse or high school counselor you should refer the person to the appropriate admissions office or officer if you are contacted about an applicant by any other person you should inform the person that you cannot share information about an applicant and that unsolicited information from third parties is not considered in the admissions process moreover attempting to introduce unsolicited third party information into the admissions process is prohibited given this firewall policy you should not contact or attempt to pass along third party information to an admissions officer or an employee with admissions responsibility regarding any particular applicant admissions officers and employees with admissions responsibility will log any thirdparty influence attempts they receive the logs will be reviewed annually by the senate admissions committee and are subject to public scrutiny any university employee who violates any part of this policy prohibiting improper influence in admissions shall be subject to discipline up to and including termination the admissions task force report is available at for additional information contact vice provost richard wheeler at rpwillinoisedu,admissions reforms,30,2009,Oct,Friday
20091028142714-005265,date october to all faculty staff and students from morgan johnston transportation demand management coordinator facilities services re goodwin avenue closed for resurfacing weather permitting goodwin avenue between green street and gregory drive is scheduled for resurfacing on thursday october both pedestrian and vehicular traffic will be seriously impacted during this work the work will begin at am at the intersection of goodwin avenue and green street and will continue all day goodwin avenue south of green street and north of gregory drive will be closed to traffic the entire day the intersections of goodwin avenue and green street nevada street and gregory drive will remain open during the work however delays can be expected as work proceeds through these intersections oregon street normally oneway westbound between mathews and goodwin will allow twoway traffic while goodwin avenue is closed pedestrian and bicycle traffic will be seriously affected during the resurfacing work public works and university staff will be present at the intersections along the corridor to direct pedestrians to a safe place to cross goodwin avenue this could result in pedestrians walking a few blocks away from their desired crossing location we are strongly urging pedestrians to obey all traffic control signage and follow all verbal directions they are given the temperature of freshly laid asphalt can range from to degrees any detours in your walking route are for your own safety cu mtd routes serving the east campus between green street and gregory drive will be rerouted for more information please go to cumtdcom or call the ultimate goal of this project is to create a safer corridor for all users pedestrians bicyclists transit riders and the motoring public we apologize for any inconvenience that the work is causing and are asking for your continued cooperation as the project nears completion in case of inclement weather this work will be rescheduled and additional communication will be issued prior to the work a map and more details regarding this project may be found at concerns or questions may be directed to ms jennifer selby urbana public works at or at jjselbycityurbanailus,goodwin avenue closed thursday october,28,2009,Oct,Wednesday
20091026121030-016945,dear student the spring prepayment plan enrollment will begin november st enrollment in the prepayment plan is optional and is an alternative to the regular university payment policy prepayment plan payments are automatically deducted from your checking or savings account electronically each month for more information regarding eligibility requirements and enrollment instructions visit our prepayment plan web page at please disregard this message if you are currently enrolled in the annual prepayment plan please do not reply directly to this email as this is an outgoing email account only send all email correspondence to usfscohelpuillinoisedu sincerely customer service university student financial services and cashier operations uic room mc student services building west harrison street chicago illinois phone usfscohelpuillinoisedu uis room public affairs center one university plaza springfield illinois phone usfscohelpuillinoisedu uiuc room mc henry administration building south wright street urbana illinois phone usfscohelpuillinoisedu,spring prepayment plan enrollment period ope,28,2009,Oct,Wednesday
20091025095032-007534,i write to inform you of an incident which poses a continuing risk to students and employees of the university of illinois at urbanachampaign the champaign police department is investigating a report of an armed robbery that occurred on at approximately am at the intersection of third street and white street the victim was walking northbound on the west sidewalk across from the intersection of third street and white street when he was approached by a male subject the male subject stopped in front of the victim and asked him if he knew where he could get some bud the victim assumed the male subject meant cannabis when he asked for bud and told him no and continued to walk past the male subject as the victim continued to walk past the male subject he felt a hard object pressed against his back the male subject stated dont turn around i have a gun give me everything you got the victim complied with the male subjects demand and provided the male subject in united states currency the victim did not observe the gun on the male subject however did describe the hard object pressed against his back as circular in shape like a gun the male suspect was described as an africanamerican male approximately years of age approximately six feet tall weighing approximately two hundred and fifty pounds with a goatee and a dark complexion the male suspect was wearing a dark blue hooded sweatshirt gray sweat pants and a white tshirt under the blue hooded sweatshirt the male suspect may have also been wearing a black skull cap on his head under the hood of the sweatshirt fortunately the victim in this incident was not injured as a result of this crime the university of illinois and champaign police departments are increasing patrols in the area and are working collaboratively to gather additional suspect information anyone with information about this incident should call the champaign police department at information also can be shared anonymously through crimestoppers by calling tips or online at the university of illinois police department offers the following crime prevention strategies always keep your doors and windows locked trust your instincts if you feel uncomfortable about someone near you on the street in an elevator or getting off a bus go to a populated place or yell for help use welllit and busy sidewalks if possible avoid walking alone or walking near vacant lots alleys construction sites and wooded areas learn the locations of emergency phones on campus carry a cell phone whistle or a personal alarm to alert people that you need help try to park in an area that will be welllit and heavily traveled when you return lock your car doors and roll up the windows completely even if you are only running a quick errand stay alert at all times and call the police immediately to report suspicious activity put the contact ice in case of emergency in your cell phone with a name and telephone number of a loved one to enable emergency services personnel to contact your family in the event of an emergency excessive volume or use of electronic devices ipods pdas cell phones etc distracts you from being alert to potential safety issues unplug yourself and tune in to your immediate environment utilize the safewalks program which is designed to provide a walking escort to any student between the hours of pm to am sunday through thursday and pm to am friday and saturday call to arrange a safewalk utilize the saferides program which is designed to provide a safe transport to any student and is generally available during the evening hours until am call finally if you have not yet done so please register your contact information with illinialert at emergencyillinoisedu to receive messages about critical safety issues on campus barbara r oconnor jd executive director of public safety chief of police university of illinois at urbanachampaign,crimealert,25,2009,Oct,Sunday
