date,mailing_tag_no,header,content,subject
Mon Nov 30 2009,20091130084914-004141,"      To: All Faculty & All Academic Professionals & All Civil Service Staff &
           All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""Todd Short"" <tshort@illinois.edu>

Reply-To: tshort@illinois.edu
 Subject: MASSMAIL - Illini-Alert System Test","Members of the campus community:

I write to let you know that tomorrow morning (Dec. 1) at 10:00 a.m., the 
campus will conduct a test of the Illini-Alert system, as well as the 
emergency pop-up message on the illinois.edu homepage and all other campus 
Web pages that have been coded to show such messages.

Please make sure that you are registered at emergency.illinois.edu, so you 
can receive text and email notifications in the event of major campus 
emergencies. When registering for Illini-Alert, please follow all 
instructions including sending yourself a test text message. For questions 
or problems concerning the Illini-Alert service, please contact the CITES 
Help Desk at (217) 244-7000 or email consult@illinois.edu.

During tomorrow's test, you will not need to do anything. However, if you 
do not receive the test message tomorrow morning on or about 10 a.m., 
please contact the CITES Help Desk.

Thank you for doing your part to keep the campus safe.

Sincerely,

Todd Short
Director of Emergency Planning",Illini-Alert System Test
Mon Nov 23 2009,20091123131358-016326,"      To: All Faculty & All Academic Professionals & All Civil Service Staff &
           All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""Chief of Police Barbara O'Connor"" <dpscomments@illinois.edu>

Reply-To: dps-mail@illinois.edu
 Subject: CRIME-ALERT","I write to inform you of an incident which poses a continuing risk to 
students and employees of the University of Illinois at Urbana-Champaign.

The University of Illinois Police Department is investigating a report of 
battery that occurred on 11-22-09 at approximately 7:15 pm on the 
Engineering Quad south of Grainger Library.

The victim was walking when he was approached from behind and knocked to 
the ground.  While on the ground two male suspects kicked him in the face 
and on both sides of his body.  The suspects then ran west toward the 
tennis courts located at the corner of Wright Street and Springfield 
Avenue.  The victims jaw and eye were swollen from the incident.

The male suspects were described as approximately twenty years of age.  
One suspect was wearing a black hooded sweatshirt.  The other suspect was 
wearing a grey hooded sweatshirt.  The victim was unable to provide any 
other specific suspect information.

As a result of this crime, the University of Illinois Police Department 
is increasing patrols in the area and are working to gather additional 
suspect information. 

Anyone with information about this incident should call the University of 
Illinois Police Department at 217-333-1216.  Information also can be 
shared anonymously through Crimestoppers by calling 217-373-TIPS or 
online at: 
http://www.champaigncountycrimestoppers.com/ 

Crime prevention information can be found on the University of Illinois 
Division of Public Safety website at 
http://www.publicsafety.illinois.edu/universitypolice/campussafety.html


Barbara R. O'Connor, J.D.
Executive Director of Public Safety
Chief of Police
University of Illinois at Urbana-Champaign
http://www.publicsafety.illinois.edu


This mailing approved by:
The Office of the Chief of Police

",CRIME-ALERT
Fri Nov 20 2009,20091119144901-026609,"      To: All Faculty & All Academic Professionals & All Civil Service Staff &
           All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""Michele Thompson"" <presidentsearch@uillinois.edu>

Reply-To: presidentsearch@uillinois.edu
 Subject: Campus Forums for Presidential Search","To:	University of Illinois Faculty, Staff and Students
From:	Michele Thompson, Secretary of the Board of Trustees, 
        on behalf of Trustee Pamela B. Strobel
Re:	Campus Forums for Presidential Search


The Search Committee to Assist in the Selection of a President will 
conduct a Campus Forum at each campus of the University to receive 
comments and suggestions from members of the University community 
concerning the search for a new president of the University. 

Trustee Pamela B. Strobel, chair of the search committee, stated that 
these are intended to be ""listening sessions"" for the members of the 
search committee that will help the committee develop a set of criteria, 
experiences and qualifications that a new president of the University of 
Illinois should possess. These criteria will then be used to measure the 
qualifications and characteristics of potential candidates. 

The first forum will be held at the Chicago campus on December 2, 2009, 
3:00 - 5:00 p.m. in Rooms A, B, C, first floor of the Student Services 
Building, 1200 West Harrison Street (Racine Avenue and Harrison Streets). 

The second forum will be at the Urbana campus on December 3, 2009, 3:00 - 
5:00 p.m. in the Knight Auditorium, Spurlock Museum, 600 South Gregory 
Street, Urbana (between Illinois and Oregon Streets).

The third forum is scheduled for the Springfield campus on December 8, 
2009, 3:00 - 5:00 p.m., in the auditorium in Brookens Library. 

Individuals wishing to speak to the representatives of the search 
committee will be asked to sign in before the forum begins. Comments may 
also be sent to the search committee at: presidentsearch@uillinois.edu.



",Campus Forums for Presidential Search
Mon Nov 16 2009,20091116130949-016630,"      To: All Faculty & All Academic Professionals & All Civil Service Staff &
           All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""Illinois Provost"" <provost@illinois.edu>

Reply-To: provost@illinois.edu
 Subject: MASSMAIL - Graduate Assistant Tuition Waivers","In the last 24 hours there have been many questions about the University's 
intention regarding tuition waivers.

Let me be as clear as possible in response to this issue. The excellence 
of our graduate programs depends on our capacity to provide fair and 
reasonable expectations for graduate assistants regarding their tuition 
waivers.  

Graduate students with assistantships will not have their tuition waivers 
reduced while they hold qualifying assistantships, are in good academic 
standing, and are making proper progress toward graduation in the program 
in which they began.  

This commitment is consistent with our long-standing and ongoing 
University practice.

Robert Easter
Interim Chancellor and Provost",Graduate Assistant Tuition Waivers
Sun Nov 15 2009,20091115214357-028343,"      To: All Faculty & All Academic Professionals & All Civil Service Staff &
           All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""Interim Chancellor and Provost"" <provost@illinois.edu>

Reply-To: provost@illinois.edu
 Subject: MASSMAIL - Announcement Regarding GEO","Dear Members of the Campus Community:

The Graduate Employees Organization (GEO) has announced it will strike 
beginning tomorrow morning at 8:00 a.m.  

Classes are not cancelled. 

Campus administration will monitor the situation closely and assess 
options for dealing with any disruption that might occur. Our goal is to 
serve our students by minimizing any harm to our educational mission that 
a work stoppage might cause. In most colleges and departments we expect 
classes to proceed uninterrupted.

The university and GEO have been negotiating for seven months on a new 
contract. Saturday night, the two sides agreed on every issue with the 
exception of tuition waivers. Such waivers are tuition exemptions and 
discounts granted to certain graduate students.

Tuition waivers are critical to attracting the best graduate students in a 
nationally competitive market. The university community is committed to 
providing the most competitive tuition waivers possible.

Contrary to GEO assertions, the university has no plans to change current 
policy on tuition waivers. Tuition waivers are governed by the General 
Rules established by the Board of Trustees. The university has assured the 
GEO it will bargain the impact of any change to the fee waiver policy in 
the unlikely event that a change is proposed.

The GEO has announced that it will take the university's contract offer to 
a vote of its members on Tuesday night. We are hopeful that the union 
members will accept the university's offer, which represents the best 
possible package for graduate students within the difficult financial 
constraints we currently face.

For more information on the university's contract offer to the GEO, visit: 
http://illinois.edu/lb/article/13/31970

Robert Easter
Interim Chancellor and Provost
",Announcement Regarding GEO
Thu Nov 12 2009,20091112170959-005870,"      To: All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""Interim Chancellor and Provost"" <provost@illinois.edu>

Reply-To: provost@illinois.edu
 Subject: MASSMAIL - Strike Information","Dear Students,

The Graduate Employees' Organization has authorized its strike committee 
to call a strike at any time, and a strike is expected Monday, Nov. 16. 
The campus expects that classes will be held as scheduled during the 
strike. It appears that the GEO will establish picket lines around some 
buildings with classrooms, and some instructors have indicated they may 
cancel or relocate classes during a strike.

If you have questions about class access or scheduling, you should contact 
the department that offers the class. Contact information for departments 
is in the campus A-Z Index (http://illinois.edu/ds/azList). 

If you have questions about the impact of a strike on your academic 
progress and degree completion, please raise these questions with your 
college's undergraduate academic affairs office. College contact 
information is also in the A-Z Index.

Students have a right to receive the education for which they are paying 
and for which they have worked hard to earn the opportunity to receive at 
the University of Illinois. Colleges and departments have been planning 
for the possibility of a strike and will ensure that teaching and learning 
continue. The university's goal is to ensure that students are treated 
fairly and the objectives of their courses are fulfilled.

Our highest priority is to ensure that students' academic progress will 
not be impeded.

Sincerely,

Robert Easter
Interim Chancellor and Provost
",Strike Information
Fri Nov 13 2009,20091112113727-017041,"      To: All Faculty & All Academic Professionals & All Civil Service Staff &
           All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""Interim President Designate Ikenberry"" <stanikenberry@uillinois.edu>

Reply-To: stanikenberry@uillinois.edu
 Subject: Appointment of Interim Provost/Chancellor Easter","
At the Board of Trustees meeting Thursday, the board approved the 
appointment of Robert A. Easter as Interim Provost/Chancellor for the 
Urbana campus effective immediately. He will continue to hold these 
positions until a permanent chancellor and provost are named and have 
assumed their responsibilities, following a national search.

As Interim Provost/Chancellor, Bob will lead the Urbana campus and fulfill 
the duties of chancellor. As interim provost, he serves as the chief 
academic and budgetary officer for the campus and the deans and directors 
of academic units report to him. Bob was named interim provost and 
associate chancellor by the trustees in July. 

Bob has a long history at the University having served as dean of the 
College of Agricultural, Consumer and Environmental Sciences from 2002-09. 
He was head of the animal sciences department from 1996-2001. An award-
winning teacher and researcher, he has been a member of the Urbana faculty 
since 1976. 

He co-authored a book on swine production and has written more than 90 
peer-reviewed articles, 11 book chapters, four monographs and numerous 
papers for conferences and industry publications. In 2006, President 
George W. Bush appointed him to the Board for International Food and 
Agricultural Development (BIFAD), and in 2007 he was appointed as chair of 
BIFAD.

Bob Easter is doing a superb job as provost and I look forward to working 
closely with him and the senior management team in Urbana on the continual 
improvement of the campus.

Bob has my personal thanks for taking on these additional responsibilities.
	

",Appointment of Interim Provost/Chancellor Easter
Thu Nov 12 2009,20091112071932-010422,"      To: All Academic Professionals & All Civil Service Staff & All Undergrad
           Students & All Grad Students <everybody@illinois.edu> 
    From: ""Don Johnston"" <dljohnst@illinois.edu>

Reply-To: dljohnst@illinois.edu
 Subject: MASSMAIL - Massmail test to a limited number of recipients","This is a Massmail broadcast test sent out to a limited number of recipients.

Please ignore this Massmail. It is only a test.

CITES Massmail Service.",Massmail test to a limited number of recipients
Wed Nov 11 2009,20091111090525-016252,"      To: All Faculty & All Academic Professionals & All Civil Service Staff
           <everybody@illinois.edu> 
    From: ""Interim President Designate Ikenberry"" <stanikenberry@uillinois.edu>

Reply-To: ccfd@illinois.edu
 Subject: MASSMAIL - Campus Charitable Fund Drive","Dear campus colleagues,

We are quickly reaching the end of our 2009 Campus Charitable Fund Drive. 
If you have already made your pledge I thank you.  Your generosity has 
never been needed more and will have a lasting impact on our neighbors 
and friends. 

If you have not yet made your pledge to the Campus Charitable Fund Drive 
I hope you will do so.  Contact your department or unit leader for a 
pledge form or, you can easily make an online pledge at 
www.ccfd.illinois.edu.  If every one of us could help in some small way 
great things could happen.  

We live in wonderful communities but their overall health depends on our 
support.  In a few days we will celebrate Thanksgiving, a time to express 
gratitude for what we have been given and help others as well.  Thank you 
for joining in this year's Campus Charitable Fund Drive.


Sincerely,

Stanley O. Ikenberry
Interim President Designate 
",Campus Charitable Fund Drive
Tue Nov 10 2009,20091110163414-005535,"      To: All Faculty & All Academic Professionals & All Civil Service Staff &
           All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""Chief of Police Barbara O'Connor"" <dpscomments@illinois.edu>

Reply-To: dps-mail@illinois.edu
 Subject: CRIME-ALERT","To the Campus Community:

I write to ask for your help in identifying the people who wrote 
threatening messages in a campus building earlier this month. It appears 
two or more individuals wrote a series of messages to each other on a 
male bathroom stall in Everitt Lab. The messages included anti-Asian and 
anti-Caucasian language. One of the messages in the exchange states that 
the writer plans to kill Asians in Everitt Lab on Nov. 16, leading to a 
response from another individual that he or she would be there to shoot 
the Caucasian individual.

We have been aggressively investigating this case, including conferring 
with the Federal Bureau of Investigations, in attempts to assess the 
credibility of the threat. Although this may stand as only a disturbing 
and anonymous exchange between individuals, we are compelled to inform 
the campus community. If, through investigative efforts, the credibility 
of the threat is believed to have increased, we will share that 
information as well. 

Such vandalism and acts of intolerance are violations of the Student Code 
and the Illinois Criminal Code and could lead to punishment under the 
students discipline system, as well as potential criminal charges.

If you have any information about the authors of these messages, please 
contact UIPD at 217/333-1216. To anonymously share information, you may 
call Champaign County Crimestoppers at 373-TIPS or online at: 
http://www.champaigncountycrimestoppers.com  

For specific information regarding active threats, visit:  
http://www.publicsafety.illinois.edu/emergencyplanning/activethreat.html

For general information about staying safe on campus, visit 
http://studentaffairs.illinois.edu/students411/safety.html and 
http://www.publicsafety.illinois.edu  

For information about reporting acts of intolerance, including bias-
motivated incidents, visit: http://www.odos.illinois.edu/tolerance/. 

Thank you for your assistance in this matter and for doing your part to 
keep our campus safe.

Sincerely,

Barbara OConnor, J.D.
Executive Director of Public Safety
Chief of Police
",CRIME-ALERT
Mon Nov  9 2009,20091109162551-009084,"      To: All Faculty & All Academic Professionals <everybody@illinois.edu> 
    From: ""Illinois Provost"" <provost@illinois.edu>

Reply-To: provost@illinois.edu
 Subject: MASSMAIL - Union Issues","The GEO membership has voted to authorize its strike committee to call a 
strike at any time. The GEO made a formal press release today. Unofficial 
reports indicate that the strike would begin on Monday, November 16, 2009. 
Although we continue to believe that a strike is not in the best interests 
of either the GEO or the University, we recognize the GEO's legal right to 
take a strike action.

Our goal always has been, and continues to be, to provide the best 
possible contract within the budget constraints we face.

It is not news that the State of Illinois, and consequently the University 
of Illinois, face severe budget problems and an uncertain financial 
future. As Presidents White and Ikenberry shared recently, immediate 
challenges include the State's lack of capacity to provide the funding for 
this fiscal year that we are to have received but have not received. More 
serious yet is the negative effect that State budget shortfalls will have 
on funding appropriated for the duration of this academic year. Still more 
serious are the projected effects on the University budget for fiscal year 
2011 of the disappearance of federal recovery dollars from our State 
budget and the further erosion of the State's tax base. Financial planning 
is now focused on meeting and coping with financial stresses exceeding any 
the University has encountered for many, many years. Although we have seen 
welcome increases in research funding, and there have been successes in 
the advancement campaign, it must be understood that funds from those 
sources cannot be used for TA salaries.

For these reasons, the GEO's request for a nearly 20% raise in the minimum 
stipend is untenable. As you know, other employees of the University did 
not receive raises this year, and the state's economic situation may yet 
require furloughs and other cost-saving measures before the end of the 
fiscal year.  

The University has been working very hard with the GEO to reach an 
agreement on a new contract, and we have made substantial progress. We 
have held 18 negotiating sessions and have reached tentative agreement on 
several key items.

For example, the University and GEO have agreed to a substantial increase 
in the health insurance fee subsidy provided by the University, increasing 
the University's current contribution of 50% to 75% in years two and three 
of the contract. Additionally, we have agreed on a parental accommodation 
period for the birth or initial placement or adoption of a child.  

We value the contributions graduate students make to the University, and 
we know we are competing nationally and internationally to attract and 
retain the best and brightest students. The total compensation package 
offered by the University, which encompasses wages, waiver of most fees, 
the tuition waiver, and a University of Illinois education, reflects our 
recognition of the value brought to the University by our excellent 
graduate students.

Nearly 60% of GEO members have 50% appointments, which means they are 
required to work part-time, 20 hours a week for nine months each year. The 
average salary for those employees is $16,222 or $20.80 an hour. 

Our commitment to our students and employees has not changed. We remain 
committed to providing a quality education for our students and being a 
fair employer to all employee groups. We continue to seek ways we can 
provide the most beneficial employment to all. But we must not make 
concessions to the extraordinary demands of one group while respecting the 
University's severe budgetary constraints in dealing with all others. 

I remind you again that we have an obligation to our students and their 
families to provide the education which they have sacrificed to attain. 
Only GEO members have a legal right to strike; all other employees have an 
obligation to meet the responsibilities of their positions.  

Employees who choose not to cross a picket line must request and receive 
approval (in advance) for vacation time. As always, vacation approval is 
based on operational need; a unit is not required to approve a vacation 
request if there are operational needs that would be unmet if the request 
is approved. Sick leave cannot be utilized to cover strike-related 
absences. If staff not covered by the GEO contract have unapproved 
absences during the strike, normal discpline procedures will apply. As 
with any union-initiated strike action, GEO members who elect to strike 
rather than meet their job obligations will not be paid for strike 
absences.  

It is important to remember that a work stoppage will do nothing to 
improve the financial situation that constrains what the University can do 
in this round of negotiations, and it will not change what the University 
can offer in these negotiations. The campus remains committed to 
fulfilling our educational mission. Our students are entitled to the 
education they have come to Illinois to receive, many with substantial 
sacrifice by them and their families. We hope assistants will respect 
their instructional obligations and not impair students' progress in their 
current courses. The campus will monitor the situation closely and assess 
options for dealing with any disruption that might occur to minimize the 
harm which a work stoppage would cause.

Instructors are expected to alert students in advance about any changes in 
class assignments or arrangements made because of a strike. The office 
staff in the department or college offering a specific course also will be 
available to respond to questions or problems that might arise in the 
event of a work stoppage, and staff in the Dean of Students office also 
will be available at 217-333-0050 to respond to questions or concerns of 
students or their parents. Some notes on the GEO negotiations are 
available through this link: 
http://www.provost.illinois.edu/geo_negotiation_notes.html.  
",Union Issues
Tue Nov  3 2009,20091102111910-016906,"      To: All Faculty & All Academic Professionals & All Civil Service Staff
           <everybody@illinois.edu> 
    From: ""President B. Joseph White"" <presidentwhite@uillinois.edu>

Reply-To: presidentwhite@uillinois.edu
 Subject: University Budget Outlook and Actions","To:    University of Illinois Community
From:  President B. Joseph White 
       and Interim President-designate Stanley O. Ikenberry
Re:    University Budget Outlook and Actions


The University of Illinois has been dealing with budget reductions and 
uncertainties for some time. We can't wave these away. Like many other 
public and private research universities around the country, we continue 
to confront them. A deep national recession, a weak Illinois economy and 
serious state financial problems create the challenge. 

During the past decade, the University has been subject to multiple 
rescissions and cuts in our appropriation from the state. In fiscal year 
2002, the University's state general fund appropriation was $804 million. 
By fiscal 2009, that amount was down to $700 million after accounting for 
a $19 million rescission and a redirection of $24 million annually to 
cover part of our health care costs previously paid by the state. This is 
a reduction of 13%, excluding inflation, or 30% in real terms.

The University's net general fund appropriation from the state for the 
current fiscal year is $719 million, including $45 million of federal 
stimulus funds. As of November 2, 2009, the University has billed the 
State for $317 million of the current fiscal year 2010 appropriation. We 
have received very little of that amount. The result is significant cash 
flow problems that we continue to manage. 

Whether the Governor and General Assembly will make downward adjustments 
to our current budget is unknown and may not be known for several months. 
Given this possibility, however, we must take steps now to manage as 
prudently as possible. At the beginning of the year the University put 
funds in reserve centrally in anticipation of difficult budget challenges 
ahead. We must now make further contingency plans to sequester an 
additional 6%, or $45 million, of the fiscal 2010 general fund 
appropriation. 

We have asked Campus and University Administration leaders to develop the 
plans guided by these principles:

  > Safeguard academic and patient-care quality, serve students and 
maintain externally funded research programs. 

  > Identify organizational changes and consolidations that will yield 
longer-term savings.

We do not plan furlough days before the end of the calendar year and we 
hope they can be avoided completely. It will be necessary, however, for 
departments, colleges and administrative units to manage any  hiring on a 
critical needs, by exception basis for the remainder of the 2010 fiscal 
year that ends next June 30. Campus and UA leaders will determine the 
methods for managing personnel costs while reducing overall expenditures. 

Virtually every public university in America faces similar challenges. For 
Illinois, the state economy is expected to remain weak and state revenues 
may decline further. Federal stimulus funds that are an important part of 
the fiscal 2010 budget are not expected to recur in 2011.  

We face difficult choices to position the University for a genuine 
recovery down the road. We intend, for example, to implement a plan to 
reduce administrative costs at the campus and UA levels by a total of $15 
million over the next three years. Other organizational and program 
changes across the University will be analyzed and considered.

We know that living with uncertainty is not easy. Yet it is far from clear 
when state policymakers will craft a plan to address the state's fiscal 
crisis and what the implications of the plan will be for state programs 
and services, including higher education. Securing a stable and high 
quality future for the University of Illinois is our top priority and a 
challenge we all share. We appreciate your understanding, cooperation and 
support during these difficult times.



",University Budget Outlook and Actions
Fri Oct 30 2009,20091030133245-016605,"      To: All Faculty & All Academic Professionals & All Civil Service Staff
           <everybody@illinois.edu> 
    From: ""Illinois Provost"" <provost@illinois.edu>

Reply-To: provost@illinois.edu
 Subject: MASSMAIL - Admissions Reforms","To:	All Staff, All Faculty

From: 	Interim Provost Robert Easter

Re:	Admissions Reforms

The Admissions Task Force was charged by former Chancellor Herman, Interim 
Provost Easter, and Senate Executive Committee Chair Tolliver to outline 
how we will implement the recommendations made by the Illinois Admissions 
Review Commission (ARC) in its August 6 report. I am pleased to report 
that the Task Force has completed its work and its recommendations have 
been shared with President White, with the Urbana Council of Deans, and 
with the other two campuses. I would like to extend my sincere thanks to 
the Task Force, particularly its chair, Professor Christine Hurt, for the 
careful and thoughtful work under challenging time constraints. 

The Admissions Task Force was not asked to change the work of the 
admissions staff but to protect it and clarify it - to put, in the words 
of the ARC report, a ""firewall"" around it and insulate it from external 
pressures and undue influence. I write now to share the Task Force's 
recommendations and to summarize the limitations and responsibilities of 
the firewall. 

The Admissions Task Force recommendations state:

With regard to undergraduate admissions, no third party, including 
Trustees, government officials, or university employees without admissions 
responsibilities, shall attempt to communicate with Office of 
Undergraduate Admissions staff members or employees with admissions 
responsibility regarding any applicant file. Any such communication is not 
permitted and would be logged for review by the Senate Admissions 
Committee. Only an applicant, an applicant's parent or legal guardian, 
spouse or secondary high school guidance counselor may communicate with 
the admissions office regarding an individual file.

Third-party communications, typically in the form of letters of 
recommendation, are fundamental to the admissions procedures of most post-
baccalaureate graduate and professional programs. Such communications are 
acceptable so long as the third party is an expert in a relevant academic 
or professional field or has other expertise that bears directly on the 
academic qualifications of an applicant. Other third-party communications 
are prohibited. 

What does this mean for you?

If you are contacted by an applicant or an applicant's parents/legal 
guardian, spouse or high school counselor, you should refer the person to 
the appropriate admissions office or officer.

If you are contacted about an applicant by any other person, you should 
inform the person that you cannot share information about an applicant and 
that unsolicited information from third parties is not considered in the 
admissions process. Moreover, attempting to introduce unsolicited third-
party information into the admissions process is prohibited. Given this 
firewall policy, you should not contact or attempt to pass along third-
party information to an admissions officer or an employee with admissions 
responsibility regarding any particular applicant. 

Admissions officers and employees with admissions responsibility will log 
any third-party influence attempts they receive. The logs will be reviewed 
annually by the Senate Admissions Committee and are subject to public 
scrutiny. Any university employee who violates any part of this policy 
prohibiting improper influence in admissions shall be subject to 
discipline, up to and including termination.
 
The Admissions Task Force Report is available at 
http://www.provost.illinois.edu/admissions/index.html.
For additional information, contact Vice Provost Richard Wheeler at 
rpw@illinois.edu.
",Admissions Reforms
Wed Oct 28 2009,20091028142714-005265,"      To: All Faculty & All Academic Professionals & All Civil Service Staff &
           All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""Morgan Johnston, Transportation Demand Management"" <mbjohnst@illinois.edu>

Reply-To: lateer@illinois.edu
 Subject: MASSMAIL - Goodwin Avenue Closed Thursday, October 29","DATE: 	 		October 28, 2009

TO:			All Faculty, Staff and Students

FROM: 			Morgan Johnston, Transportation Demand Management 
Coordinator, Facilities & Services

RE:			Goodwin Avenue Closed for Resurfacing

Weather permitting; Goodwin Avenue between Green Street and Gregory Drive 
is scheduled for resurfacing on Thursday, October 29, 2009.  Both 
pedestrian and vehicular traffic will be seriously impacted during this 
work. 

The work will begin at 5:00 a.m. at the intersection of Goodwin Avenue and 
Green Street and will continue all day.  Goodwin Avenue south of Green 
Street and north of Gregory Drive will be closed to traffic the entire 
day. The intersections of Goodwin Avenue and Green Street, Nevada Street 
and  Gregory Drive will remain open during the work; however, delays can 
be expected as work proceeds through these intersections. Oregon Street, 
normally one-way westbound between Mathews and Goodwin, will allow two-way 
traffic while Goodwin Avenue is closed. 

Pedestrian and bicycle traffic will be seriously affected during the 
resurfacing work. Public Works and University staff will be present at the 
intersections along the corridor to direct pedestrians to a safe place to 
cross Goodwin Avenue.  This could result in pedestrians walking a few 
blocks away from their desired crossing location.  We are strongly urging 
pedestrians to obey all traffic control signage and follow all verbal 
directions they are given.  The temperature of freshly laid asphalt can 
range from 250 to 350 degrees.  Any detours in your walking route are for 
your own safety.

C-U MTD routes serving the East Campus between Green Street and Gregory 
Drive will be rerouted.  For more information please go to cumtd.com or 
call 384-8188. 

The ultimate goal of this project is to create a safer corridor for all 
users: pedestrians, bicyclists, transit riders, and the motoring public.  
We apologize for any inconvenience that the work is causing, and are 
asking for your continued cooperation as the project nears completion.

In case of inclement weather, this work will be rescheduled and additional 
communication will be issued prior to the work.

A map and more details regarding this project may be found at 
http://www.fs.uiuc.edu/sas/crc/announcements.cfm. Concerns or questions 
may be directed to Ms. Jennifer Selby, Urbana Public Works at 217-384-2385 
or at jjselby@city.urbana.il.us.
","Goodwin Avenue Closed Thursday, October 29"
Wed Oct 28 2009,20091026121030-016945,"      To: All Undergrad Students & All Grad Students <everybody@illinois.edu> 
    From: ""University Student Financial Services"" <usfscohelp@uillinois.edu>

Reply-To: usfscohelp@uillinois.edu
 Subject: MASSMAIL - Spring 2010 Pre-Payment Plan Enrollment Period Ope","Dear Student,
The spring 2010 Pre-Payment Plan enrollment will begin November 1st 
2009.  Enrollment in the pre-payment plan is optional and is an 
alternative to the regular University payment policy.  Pre-payment plan 
payments are automatically deducted from your checking or savings account 
electronically each month.    For more information regarding eligibility 
requirements and enrollment instructions, visit our pre-payment plan web 
page at: http://www.usfsco.uillinois.edu/prepaymentplan.html.
Please disregard this message if you are currently enrolled in the Annual 
2009-2010 Pre-Payment Plan.
Please do not reply directly to this email, as this is an outgoing email 
account only.  Send all email correspondence to usfscohelp@uillinois.edu.

Sincerely,

Customer Service
University Student Financial Services and Cashier Operations

UIC		
Room 1900 (MC 073)		
Student Services Building		
1200 West Harrison Street		
Chicago, Illinois 60607-7162		
Phone (312) 996-8574		
usfscohelp@uillinois.edu

UIS
Room 184
Public Affairs Center
One University Plaza
Springfield, Illinois  62703-5407
Phone (217) 206-6727
usfscohelp@uillinois.edu


UIUC
Room 162 (MC 367)
Henry Administration Building
506 South Wright Street
Urbana, Illinois  61801-3636
Phone (217) 333-2180
usfscohelp@uillinois.edu
",Spring 2010 Pre-Payment Plan Enrollment Period Ope
